Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.0114,2476142733.23596,2476142733.23596,2479515236.91867
0.0115,2471264233.12288,2471264233.12288,2474630092.2938
0.0116,2457681751.96219,2457681751.96219,2461029111.80869
0.0117,2447070918.64744,2447070918.64744,2450403826.55062
0.0118,2436952777.8502,2436952777.8502,2440271904.85673
0.0119,2427097276.43293,2427097276.43293,2430402980.25735
0.012,2413124820.25848,2413124820.25848,2416411493.61294
0.0121,2390409058.20288,2390409058.20288,2393664792.71437
0.0122,2367962442.32405,2367962442.32405,2371187604.56937
0.0123,2346213010.95018,2346213010.95018,2349408550.49386
0.0124,2325141816.38703,2325141816.38703,2328308656.98686
0.0125,2300907454.99365,2300907454.99365,2304041288.41989
0.0126,2281174626.96847,2281174626.96847,2284281584.30461
0.0127,2262483292.85602,2262483292.85602,2265564792.61564
0.0128,2244291048.11343,2244291048.11343,2247347770.05569
0.0129,2223311912.41619,2223311912.41619,2226340060.79868
0.013,2207223769.02642,2207223769.02642,2210230005.37528
0.0131,2195927141.26312,2195927141.26312,2198917991.61737
0.0132,2187558823.87447,2187558823.87447,2190538276.58963
0.0133,2177962804.55006,2177962804.55006,2180929187.49745
0.0134,2169260030.80101,2169260030.80101,2172214560.58011
0.0135,2160940713.07839,2160940713.07839,2163883911.95589
0.0136,2153203322.96852,2153203322.96852,2156135983.52919
0.0137,2145842752.69641,2145842752.69641,2148765388.16845
0.0138,2136835218.74094,2136835218.74094,2139745585.96163
0.0139,2129006264.08624,2129006264.08624,2131905968.27929
0.014,2119829600.21674,2119829600.21674,2122716805.80368
0.0141,2105095632.40305,2105095632.40305,2107962770.34201
0.0142,2087987217.19491,2087987217.19491,2090831053.49115
0.0143,2071909558.00656,2071909558.00656,2074731496.54864
0.0144,2056154821.94225,2056154821.94225,2058955302.55113
0.0145,2039845572.76877,2039845572.76877,2042623840.19818
0.0146,2020703050.36757,2020703050.36757,2023455245.7025
0.0147,2001847121.62539,2001847121.62539,2004573635.20609
0.0148,1983644925.47296,1983644925.47296,1986346647.68249
0.0149,1965801098.3487,1965801098.3487,1968478517.28529
0.015,1949128438.2931,1949128438.2931,1951783149.085
0.0151,1934498573.8366,1934498573.8366,1937133358.76919
0.0152,1920603086.10548,1920603086.10548,1923218945.39904
0.0153,1908585742.83402,1908585742.83402,1911185234.51925
0.0154,1896724767.79884,1896724767.79884,1899308104.8491
0.0155,1885281896.76095,1885281896.76095,1887849648.63342
0.0156,1876359307.78435,1876359307.78435,1878914907.10043
0.0157,1867473282.72684,1867473282.72684,1870016779.28656
0.0158,1860898754.77997,1860898754.77997,1863433296.83986
0.0159,1854348869.90682,1854348869.90682,1856874491.0307
0.016,1847296930.52462,1847296930.52462,1849812946.91481
0.0161,1840529604.65016,1840529604.65016,1843036403.94994
0.0162,1837105289.44594,1837105289.44594,1839607424.83217
0.0163,1833616119.81394,1833616119.81394,1836113502.95497
0.0164,1829092192.5613,1829092192.5613,1831583414.11837
0.0165,1823791870.32628,1823791870.32628,1826275872.85029
0.0166,1818328275.41003,1818328275.41003,1820804836.52377
0.0167,1812172518.35608,1812172518.35608,1814640695.33547
0.0168,1805237136.46575,1805237136.46575,1807695867.46263
0.0169,1798662993.67482,1798662993.67482,1801112770.69644
0.017,1790611612.39762,1790611612.39762,1793050423.44679
0.0171,1781878278.15467,1781878278.15467,1784305194.41218
0.0172,1772037570.97865,1772037570.97865,1774451084.20381
0.0173,1761192550.33703,1761192550.33703,1763591292.65598
0.0174,1750899809.49572,1750899809.49572,1753284533.11295
0.0175,1740300041.85257,1740300041.85257,1742670328.59792
0.0176,1728724918.7645,1728724918.7645,1731079440.20492
0.0177,1715779811.9644,1715779811.9644,1718116702.18357
0.0178,1703322724.26394,1703322724.26394,1705642647.94335
0.0179,1690768073.15316,1690768073.15316,1693070897.41155
0.018,1678851308.08726,1678851308.08726,1681137901.72471
0.0181,1667234944.62507,1667234944.62507,1669505716.78826
0.0182,1654714162.46296,1654714162.46296,1656967881.33459
0.0183,1642581023.77227,1642581023.77227,1644818217.32233
0.0184,1631297041.4496,1631297041.4496,1633518866.22813
0.0185,1620141802.36477,1620141802.36477,1622348433.71993
0.0186,1608419052.5858,1608419052.5858,1610609717.56863
0.0187,1596603705.09886,1596603705.09886,1598778277.5914
0.0188,1585911112.00098,1585911112.00098,1588071121.19346
0.0189,1575262577.89926,1575262577.89926,1577408083.79999
0.019,1564136519.60519,1564136519.60519,1566266871.82674
0.0191,1553137152.14653,1553137152.14653,1555252523.24169
0.0192,1541896681.4451,1541896681.4451,1543996743.03151
0.0193,1531437869.86497,1531437869.86497,1533523686.5615
0.0194,1521094780.21856,1521094780.21856,1523166509.63835
0.0195,1510010266.35413,1510010266.35413,1512066898.67821
0.0196,1499053009.80351,1499053009.80351,1501094718.3562
0.0197,1488990340.84969,1488990340.84969,1491018344.05833
0.0198,1478898552.75773,1478898552.75773,1480912810.96207
0.0199,1468298160.69302,1468298160.69302,1470297981.17501
0.02,1458089773.65373,1458089773.65373,1460075690.32379
0.0201,1447589121.91691,1447589121.91691,1449560736.71083
0.0202,1437608073.43265,1437608073.43265,1439566094.0495
0.0203,1427669990.33401,1427669990.33401,1429614475.2926
0.0204,1417052649.2752,1417052649.2752,1418982673.42693
0.0205,1406622176.0452,1406622176.0452,1408537993.90385
0.0206,1396889776.30561,1396889776.30561,1398792338.64651
0.0207,1387199553.42506,1387199553.42506,1389088917.69304
0.0208,1377614871.90865,1377614871.90865,1379491181.85093
0.0209,1368259506.37472,1368259506.37472,1370123074.31942
0.021,1359563799.22109,1359563799.22109,1361415523.62219
0.0211,1350834066.32434,1350834066.32434,1352673900.83883
0.0212,1341643885.35787,1341643885.35787,1343471202.85598
0.0213,1332854792.18164,1332854792.18164,1334670138.9445
0.0214,1323856546.46833,1323856546.46833,1325659637.63041
0.0215,1315549386.08786,1315549386.08786,1317341162.90662
0.0216,1307503579.08123,1307503579.08123,1309284397.51969
0.0217,1298950846.54025,1298950846.54025,1300720016.16639
0.0218,1290428167.31307,1290428167.31307,1292185729.05946
0.0219,1282685801.4485,1282685801.4485,1284432818.10109
0.022,1274961818.57037,1274961818.57037,1276698315.16677
0.0221,1266744889.35432,1266744889.35432,1268470194.50215
0.0222,1258893151.10838,1258893151.10838,1260607762.19734
0.0223,1250951333.46685,1250951333.46685,1252655127.8089
0.0224,1243643615.32465,1243643615.32465,1245337456.56263
0.0225,1236405595.19466,1236405595.19466,1238089578.25717
0.0226,1228689442.04954,1228689442.04954,1230362915.71994
0.0227,1221103640.94992,1221103640.94992,1222766782.76756
0.0228,1214238012.29941,1214238012.29941,1215891803.13836
0.0229,1207382587.05133,1207382587.05133,1209027040.80863
0.023,1200165960.98901,1200165960.98901,1201800585.70953
0.0231,1192070791.44462,1192070791.44462,1193694390.55312
0.0232,1184424288.89029,1184424288.89029,1186037473.47071
0.0233,1176853954.90152,1176853954.90152,1178456828.69537
0.0234,1169000000.58102,1169000000.58102,1170592177.2977
0.0235,1161429533.62353,1161429533.62353,1163011399.37253
0.0236,1153733369.17591,1153733369.17591,1155304752.75739
0.0237,1146514548.4391,1146514548.4391,1148076099.99467
0.0238,1139415453.24373,1139415453.24373,1140967335.83944
0.0239,1131943085.84291,1131943085.84291,1133484791.08243
0.024,1124643062.96167,1124643062.96167,1126174825.57804
0.0241,1117849467.05395,1117849467.05395,1119371976.80016
0.0242,1111215792.04998,1111215792.04998,1112729266.73812
0.0243,1104264033.54142,1104264033.54142,1105768039.94211
